Competência	Código da terminologia	Nome da terminologia	Código TUSS	Forma de envio	Data de início de vigência	Data de fim de vigência	Data de fim de implantação	Tipo de Ação
Março/2021	22	Terminologia de procedimentos e eventos em saúde	20101201	Avaliação clínica e eletrônica de paciente portador de marca-passo ou sincronizador ou desfibrilador	13/02/2009	31/03/2021	15/10/2010	Inativado por Alteração
Março/2021	22	Terminologia de procedimentos e eventos em saúde	30310040	Cirurgias fistulizantes com implantes valvulares	13/02/2009	31/03/2021	15/10/2010	Inativado por Alteração
Março/2021	22	Terminologia de procedimentos e eventos em saúde	30918081	Ablação percutânea por cateter para tratamento de arritmias cardíacas complexas (Fibrilação atrial, Taquicardia Ventricular com modificação de cicatriz, Taquicardias Atriais Macrorreentrantes com modificaçõa de cicatriz) por energia de radiofrequência	10/04/2017	31/03/2021	09/07/2017	Inativado por Alteração
Março/2021	22	Terminologia de procedimentos e eventos em saúde	31101275	Nefrolitotripsia percutânea unilateral (MEC., E.H., ou US)	13/02/2009	31/03/2021	15/10/2010	Inativado por Alteração
Março/2021	22	Terminologia de procedimentos e eventos em saúde	31506011	Transplante renal (receptor)	13/02/2009	31/03/2021	15/10/2010	Inativado por Alteração
Março/2021	22	Terminologia de procedimentos e eventos em saúde	20101201	Avaliação clínica e eletrônica de paciente portador de dispositivo cardíaco eletrônico implantável (marca-passo, estimulador multissítio/ressincronizador, desfibrilador ou monitor de eventos)	01/04/2021		15/10/2010	Alterado
Março/2021	22	Terminologia de procedimentos e eventos em saúde	30310040	Cirurgias fistulizantes antiglaucomatosas com ou sem implantes de drenagem	01/04/2021		15/10/2010	Alterado
Março/2021	22	Terminologia de procedimentos e eventos em saúde	30918081	Ablação percutânea por cateter para tratamento de arritmias cardíacas complexas (fibrilação atrial, taquicardia ventricular com modificação de cicatriz, taquicardias atriais macrorrentrantes com modificação de cicatriz), por energia de radiofrequência ou crioablação	01/04/2021		09/07/2017	Alterado
Março/2021	22	Terminologia de procedimentos e eventos em saúde	31101275	"Nefrolitotripsia percutânea (pneumática ou pneumático-balística – MEC; eletrohidráulica -  E.H.; OU ultrassom - U.S.)"	01/04/2021		15/10/2010	Alterado
Março/2021	22	Terminologia de procedimentos e eventos em saúde	31506011	Transplante renal (receptor e doador vivo ou doador falecido)	01/04/2021		15/10/2010	Alterado
Março/2021	22	Terminologia de procedimentos e eventos em saúde	20104448	Terapia de pressão negativa - ambulatorial	01/04/2021		30/06/2021	Incluído
Março/2021	22	Terminologia de procedimentos e eventos em saúde	30102014	Terapia de pressão negativa - cirúrgica	01/04/2021		30/06/2021	Incluído
Março/2021	22	Terminologia de procedimentos e eventos em saúde	30101972	Abdominoplastia pós bariátrica	01/04/2021		30/06/2021	Incluído
Março/2021	22	Terminologia de procedimentos e eventos em saúde	30715598	Artroplastia discal de coluna vertebral	01/04/2021		30/06/2021	Incluído
Março/2021	22	Terminologia de procedimentos e eventos em saúde	30918073	 Ablação percutânea por cateter para tratamento de arritmias cardíacas por energia de radiofrequência ou crioablação	01/04/2021		30/06/2021	Incluído
Março/2021	22	Terminologia de procedimentos e eventos em saúde	30912296	Implante transcateter de prótese valvar aórtica (TAVI)	01/04/2021		30/06/2021	Incluído
Março/2021	22	Terminologia de procedimentos e eventos em saúde	40322572	Determinação da razão dos níveis séricos in vitro da tirosina-quinase-1 semelhante a fms solúvel (sFlt-1): fator de crescimento placentário (PlGF) por eletroquimioluminescência	01/04/2021		30/06/2021	Incluído
Março/2021	22	Terminologia de procedimentos e eventos em saúde	40303330	Dosagem fecal de calprotectina	01/04/2021		30/06/2021	Incluído
Março/2021	22	Terminologia de procedimentos e eventos em saúde	40324648	Ensaio para dosagem da liberação de interferon gama	01/04/2021		30/06/2021	Incluído
Março/2021	22	Terminologia de procedimentos e eventos em saúde	50001183	Sessão em psicologia individual	01/04/2021		30/06/2021	Incluído
Março/2021	22	Terminologia de procedimentos e eventos em saúde	50001191	Sessão em psicologia em grupo	01/04/2021		30/06/2021	Incluído
Março/2021	22	Terminologia de procedimentos e eventos em saúde	50001205	Consulta com enfermeiro obstetra ou obstetriz	01/04/2021		30/06/2021	Incluído
Março/2021	22	Terminologia de procedimentos e eventos em saúde	20104480	Terapia anti-reabsortiva óssea intravenosa - ambulatorial  	01/04/2021		30/06/2021	Incluído
Março/2021	22	Terminologia de procedimentos e eventos em saúde	20104510	Terapia imunobiológica intramuscular (por sessão) - ambulatorial	01/04/2021		30/06/2021	Incluído
Março/2021	22	Terminologia de procedimentos e eventos em saúde	20204205	Terapia anti-reabsortiva óssea intravenosa - hospitalar	01/04/2021		30/06/2021	Incluído
Março/2021	22	Terminologia de procedimentos e eventos em saúde	20204230	Terapia imunobiológica intramuscular (por sessão) - hospitalar	01/04/2021		30/06/2021	Incluído
Março/2021	22	Terminologia de procedimentos e eventos em saúde	30208157	Osteotomia da mandíbula e/ou maxila com aplicação de osteodistrator	01/04/2021		30/06/2021	Incluído
Março/2021	22	Terminologia de procedimentos e eventos em saúde	30909155	Hemodialfiltração online (HDF-OL)	01/04/2021		30/06/2021	Incluído
